target_death_rate;pct_public_coverage;poverty_percent;median_age
126,8;41,5;22,6;33,8
180;31,6;13,3;41,8
161,2;28,2;13,7;37,5
185,4;47,2;22,8;46,1
210,8;39,4;21,7;39
198,2;38,3;23,1;38,8
185,6;30,9;13,7;38,9
151,6;35,8;24,9;35,3
193,6;30,4;23,4;30
229;56,4;32,1;43,4
203,2;33,6;16,6;42
162,4;21,5;8,5;31,1
162,7;42,2;21,3;46,2
127;47,8;36,3;39,2
155,5;42,5;24,1;40,1
221,7;40,5;22,5;38
192,2;40,1;14,4;47
136,2;32,3;10,4;47,4
166,5;29,5;11,6;48
169,3;42,4;20,9;46,6
143,3;24,9;9;38,1
162;23,8;8;39
183,1;38,1;13,3;40,7
181,8;42,3;17,6;43,1
124,8;45,6;16,1;52
191,8;37,6;13;45
175,3;46,1;27,7;44,8
158,9;34,3;13,9;37,3
200,1;44,7;21,6;43,4
181,6;31,2;19,7;32,9
174,6;38,5;16,7;40,8
200,3;42,7;23,9;42,2
177,3;33,9;10,7;42,6
209,9;34,2;14,8;43,6
169,9;30,7;11,9;38,5
181,5;35,9;15,8;37,6
186,3;33,3;14,6;40,5
134,7;31,4;9,7;48,5
153,2;27,9;12,3;40,6
163,8;29;21,6;34,4
174,7;37,8;25,1;42,9
148,6;36,4;11,6;38
176,1;50,6;14,4;46,1
176,1;35,1;10,3;44
204,6;37,7;18;41,8
194;43,2;24,9;41,1
221,3;44,9;22,6;41
172,5;40,1;19,1;41,1
155,8;33,4;20,6;33,8
180;46,4;17,7;38,6
170,1;44,8;13;50,5
175,2;24,3;7,2;40,6
169,2;24,3;12,6;33,2
214,3;35,3;28,8;34,6
174,6;42,2;11,6;49,6
177,3;31,1;7,8;39,5
165,2;23,3;6;35,6
176,7;37,7;14,5;44,7
199,1;42,4;27,6;40,3
179;33,9;21;44,9
154,6;43,5;18,7;40
168,6;27,6;13,3;38
171,9;41,8;12,8;51,1
155,5;38,5;18,7;38
204,2;32,7;15,3;41,5
224,6;55,5;34,9;39,2
188,8;30,4;25,5;32,1
177,2;30,5;12,3;37,5
169,4;35,1;10,9;48,5
220,6;16,1;18,8;23,3
190,7;45,2;19,3;46,6
179;26,6;11,6;39,6
161,4;44,4;18,1;49
161,9;40,1;11,7;49
180,1;43,9;19,3;42,1
137,4;28,7;15,5;32,4
157,6;36;9,2;42,3
181,8;48,6;21,5;46,6
177;50,4;14,8;52,6
129,4;32;11,2;45,2
187,5;39,4;18;41,3
183,7;44,3;25,9;37,7
177,9;44,1;21,9;42,5
195;40,7;30,7;39,4
187,2;37,1;19,3;37
186;40,1;15,9;41,3
186,7;33,2;19,5;37,4
174;41,9;20;32
163;36,2;16,9;42,5
172,8;39,4;20,2;43,3
162,7;33,9;13,9;41,1
191,7;35,2;11,3;44,5
162,9;19,2;6,8;37,4
190;34,9;21,9;33,5
212,3;46,4;32,9;40,7
181,8;55,1;30,6;39
130,6;32;10;48,8
171,7;44,1;13,6;50,8
160,3;34,7;11,1;48,4
150,9;50,6;26;39,7
185,8;27,6;14,6;37,9
166,9;45,2;27,7;41,5
152,3;20,9;5,5;39,5
147,3;35,5;16,1;53,6
161,5;37,2;10,7;40,6
208,6;37,6;19,3;40,7
136,4;27,8;9,6;40,8
146,8;36,4;13,9;46,3
189,4;33,1;13,5;43,9
145,7;34,5;11;52,5
177,8;35,1;11,8;50,9
211,1;38,7;22;42,2
155,7;29,3;12,8;38,7
189,7;27,5;8,7;42,1
162,2;29,9;12,8;38,6
183,7;43,8;21,4;43,3
147,8;30,5;9,7;44,6
138,8;28,2;9,4;44,1
175,4;24,9;11;35,7
192,3;47,7;20,9;50,1
206,1;41,2;9,1;47,1
177,7;40,6;14,7;45,9
193,8;31,3;14,4;37,9
213,4;43,2;17;42,3
186,7;35;15,3;37,2
191,3;40,6;19,3;40,4
197;43,5;21;42,4
204;51,8;23,1;44,2
156;44,9;12,2;48
169,4;43;16,2;51,3
173,6;30,5;14,7;37,9
153,9;38,3;20,3;42,1
202,5;29;10;42,8
155,1;28,2;15,4;36,2
169,1;37;18,4;39,3
195,2;46,4;16,9;47,5
214,8;43,3;32,1;37,5
170,7;40,2;19,9;39
225,1;40;18,9;47,1
202,5;39,8;17,6;39,3
135,8;35,7;17,1;45,5
143,8;27,9;9,7;41,1
197,1;28,2;13,5;37,5
176,6;31,5;9,9;42,3
162,8;42,4;38,5;38,2
181,7;45,7;33,9;34,6
185,1;39,3;19,4;40,9
164,9;44,5;32,5;38,4
